id,home_team,away_team,league_id,league_name,season,match_date,match_id_api,home_score,away_score,result,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,odds_home,odds_draw,odds_away,data_source,created_at,updated_at
"astonvilla_westham_2024-08-20","Aston Villa","West Ham",0,"Premier League","2023-2024","2024-08-20",,0,2,"A",,,,,,,,,,,,,,,0.67,2.92,3.1,3.11,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"westham_everton_2024-08-23","West Ham","Everton",0,"Premier League","2023-2024","2024-08-23",,0,2,"A",,,,,,,,,,,,,,,0.66,2.68,3.1,3.34,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"fulham_wolves_2024-08-27","Fulham","Wolves",0,"Premier League","2023-2024","2024-08-27",,1,1,"D",,,,,,,,,,,,,,,1.51,1.94,3.4,3.43,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"wolves_crystalpalace_2024-08-30","Wolves","Crystal Palace",0,"Premier League","2023-2024","2024-08-30",,3,0,"H",,,,,,,,,,,,,,,3.73,0.79,3.4,3.29,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"crystalpalace_brentford_2024-09-02","Crystal Palace","Brentford",0,"Premier League","2023-2024","2024-09-02",,2,2,"D",,,,,,,,,,,,,,,2.88,2.07,3.4,3.49,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brentford_nottmforest_2024-09-03","Brentford","Nottm Forest",0,"Premier League","2023-2024","2024-09-03",,0,3,"A",,,,,,,,,,,,,,,0.84,3.71,3.4,3.25,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"nottmforest_bournemouth_2024-09-07","Nottm Forest","Bournemouth",0,"Premier League","2023-2024","2024-09-07",,1,0,"H",,,,,,,,,,,,,,,1.14,0.09,3.4,3.39,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"bournemouth_leicester_2024-09-09","Bournemouth","Leicester",0,"Premier League","2023-2024","2024-09-09",,3,0,"H",,,,,,,,,,,,,,,3.3,0.32,3.4,3.5,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"leicester_ipswich_2024-09-11","Leicester","Ipswich",0,"Premier League","2023-2024","2024-09-11",,0,0,"D",,,,,,,,,,,,,,,0.71,0.48,3.4,3.15,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"ipswich_southampton_2024-09-12","Ipswich","Southampton",0,"Premier League","2023-2024","2024-09-12",,0,1,"A",,,,,,,,,,,,,,,0.51,1.71,3.4,3.16,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"southampton_arsenal_2024-09-13","Southampton","Arsenal",0,"Premier League","2023-2024","2024-09-13",,1,1,"D",,,,,,,,,,,,,,,1.85,1.52,3.4,3.28,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"arsenal_mancity_2024-09-17","Arsenal","Man City",0,"Premier League","2023-2024","2024-09-17",,2,1,"H",,,,,,,,,,,,,,,2.37,1.58,2.5,3.1,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"chelsea_liverpool_2024-09-21","Chelsea","Liverpool",0,"Premier League","2023-2024","2024-09-21",,2,2,"D",,,,,,,,,,,,,,,2.71,2.99,2.5,3.12,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"mancity_manutd_2024-09-24","Man City","Man Utd",0,"Premier League","2023-2024","2024-09-24",,1,3,"A",,,,,,,,,,,,,,,1.54,3.99,2.5,3.48,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"liverpool_tottenham_2024-09-27","Liverpool","Tottenham",0,"Premier League","2023-2024","2024-09-27",,0,3,"A",,,,,,,,,,,,,,,0.51,3.71,2.5,3.34,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"manutd_newcastle_2024-09-29","Man Utd","Newcastle",0,"Premier League","2023-2024","2024-09-29",,2,0,"H",,,,,,,,,,,,,,,2.39,0.84,2.5,3.02,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"tottenham_brighton_2024-10-01","Tottenham","Brighton",0,"Premier League","2023-2024","2024-10-01",,1,3,"A",,,,,,,,,,,,,,,1.29,3.99,3.1,3.1,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"newcastle_astonvilla_2024-10-04","Newcastle","Aston Villa",0,"Premier League","2023-2024","2024-10-04",,3,2,"H",,,,,,,,,,,,,,,3.43,2.71,3.1,3.31,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brighton_westham_2024-10-06","Brighton","West Ham",0,"Premier League","2023-2024","2024-10-06",,1,1,"D",,,,,,,,,,,,,,,1.15,1.8,3.1,3.4,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"astonvilla_everton_2024-10-07","Aston Villa","Everton",0,"Premier League","2023-2024","2024-10-07",,2,1,"H",,,,,,,,,,,,,,,2.45,1.52,3.1,3.25,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"westham_fulham_2024-10-09","West Ham","Fulham",0,"Premier League","2023-2024","2024-10-09",,3,2,"H",,,,,,,,,,,,,,,3.92,2.34,3.1,3.41,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"everton_wolves_2024-10-12","Everton","Wolves",0,"Premier League","2023-2024","2024-10-12",,2,2,"D",,,,,,,,,,,,,,,2.43,2.87,3.4,3.17,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"fulham_crystalpalace_2024-10-14","Fulham","Crystal Palace",0,"Premier League","2023-2024","2024-10-14",,1,3,"A",,,,,,,,,,,,,,,1.93,3.18,3.4,3.5,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"wolves_brentford_2024-10-18","Wolves","Brentford",0,"Premier League","2023-2024","2024-10-18",,1,2,"A",,,,,,,,,,,,,,,1.7,2.85,3.4,3.11,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"crystalpalace_nottmforest_2024-10-21","Crystal Palace","Nottm Forest",0,"Premier League","2023-2024","2024-10-21",,2,0,"H",,,,,,,,,,,,,,,2.19,0.25,3.4,3.05,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brentford_bournemouth_2024-10-22","Brentford","Bournemouth",0,"Premier League","2023-2024","2024-10-22",,2,2,"D",,,,,,,,,,,,,,,2.58,2.75,3.4,3.43,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"nottmforest_leicester_2024-10-23","Nottm Forest","Leicester",0,"Premier League","2023-2024","2024-10-23",,2,3,"A",,,,,,,,,,,,,,,2.26,3.29,3.4,3.49,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"bournemouth_ipswich_2024-10-24","Bournemouth","Ipswich",0,"Premier League","2023-2024","2024-10-24",,2,3,"A",,,,,,,,,,,,,,,2.65,3.56,3.4,3.44,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"leicester_southampton_2024-10-25","Leicester","Southampton",0,"Premier League","2023-2024","2024-10-25",,0,1,"A",,,,,,,,,,,,,,,0.67,1.34,3.4,3.07,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"ipswich_arsenal_2024-10-28","Ipswich","Arsenal",0,"Premier League","2023-2024","2024-10-28",,0,0,"D",,,,,,,,,,,,,,,0.56,0.16,3.4,3.46,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"southampton_chelsea_2024-10-30","Southampton","Chelsea",0,"Premier League","2023-2024","2024-10-30",,0,2,"A",,,,,,,,,,,,,,,0.88,2.63,3.4,3.42,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"arsenal_liverpool_2024-10-31","Arsenal","Liverpool",0,"Premier League","2023-2024","2024-10-31",,0,0,"D",,,,,,,,,,,,,,,0.5,0.51,2.5,3.25,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"chelsea_manutd_2024-11-02","Chelsea","Man Utd",0,"Premier League","2023-2024","2024-11-02",,1,2,"A",,,,,,,,,,,,,,,1.12,2.41,2.5,3.31,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"mancity_tottenham_2024-11-05","Man City","Tottenham",0,"Premier League","2023-2024","2024-11-05",,1,2,"A",,,,,,,,,,,,,,,1.09,2.67,2.5,3.49,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"liverpool_newcastle_2024-11-07","Liverpool","Newcastle",0,"Premier League","2023-2024","2024-11-07",,0,0,"D",,,,,,,,,,,,,,,0.18,0.37,2.5,3.09,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"manutd_brighton_2024-11-11","Man Utd","Brighton",0,"Premier League","2023-2024","2024-11-11",,1,0,"H",,,,,,,,,,,,,,,1.36,0.38,2.5,3.01,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"tottenham_astonvilla_2024-11-12","Tottenham","Aston Villa",0,"Premier League","2023-2024","2024-11-12",,3,1,"H",,,,,,,,,,,,,,,3.29,1,3.1,3.26,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"newcastle_westham_2024-11-14","Newcastle","West Ham",0,"Premier League","2023-2024","2024-11-14",,1,3,"A",,,,,,,,,,,,,,,1.71,3.79,3.1,3.07,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brighton_everton_2024-11-16","Brighton","Everton",0,"Premier League","2023-2024","2024-11-16",,2,2,"D",,,,,,,,,,,,,,,2.61,2.96,3.1,3.32,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"astonvilla_fulham_2024-11-18","Aston Villa","Fulham",0,"Premier League","2023-2024","2024-11-18",,1,3,"A",,,,,,,,,,,,,,,1.66,3.34,3.1,3.03,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"westham_wolves_2024-11-22","West Ham","Wolves",0,"Premier League","2023-2024","2024-11-22",,3,2,"H",,,,,,,,,,,,,,,3.88,2.06,3.1,3.45,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"everton_crystalpalace_2024-11-25","Everton","Crystal Palace",0,"Premier League","2023-2024","2024-11-25",,0,3,"A",,,,,,,,,,,,,,,0.27,3.03,3.4,3.46,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"fulham_brentford_2024-11-28","Fulham","Brentford",0,"Premier League","2023-2024","2024-11-28",,3,2,"H",,,,,,,,,,,,,,,3.43,2.28,3.4,3.16,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"wolves_nottmforest_2024-12-01","Wolves","Nottm Forest",0,"Premier League","2023-2024","2024-12-01",,1,0,"H",,,,,,,,,,,,,,,1.78,0.62,3.4,3.15,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"crystalpalace_bournemouth_2024-12-03","Crystal Palace","Bournemouth",0,"Premier League","2023-2024","2024-12-03",,0,0,"D",,,,,,,,,,,,,,,0.29,0.2,3.4,3.47,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brentford_leicester_2024-12-04","Brentford","Leicester",0,"Premier League","2023-2024","2024-12-04",,3,0,"H",,,,,,,,,,,,,,,3.41,0.11,3.4,3.39,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"nottmforest_ipswich_2024-12-08","Nottm Forest","Ipswich",0,"Premier League","2023-2024","2024-12-08",,1,1,"D",,,,,,,,,,,,,,,1.49,1.65,3.4,3.04,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"bournemouth_southampton_2024-12-09","Bournemouth","Southampton",0,"Premier League","2023-2024","2024-12-09",,1,0,"H",,,,,,,,,,,,,,,1.57,0.29,3.4,3.3,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"leicester_arsenal_2024-12-11","Leicester","Arsenal",0,"Premier League","2023-2024","2024-12-11",,0,0,"D",,,,,,,,,,,,,,,0.15,0.28,3.4,3.1,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"ipswich_chelsea_2024-12-15","Ipswich","Chelsea",0,"Premier League","2023-2024","2024-12-15",,1,3,"A",,,,,,,,,,,,,,,1.8,3.54,3.4,3.42,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"southampton_mancity_2024-12-17","Southampton","Man City",0,"Premier League","2023-2024","2024-12-17",,0,3,"A",,,,,,,,,,,,,,,0.03,3.5,3.4,3.41,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"arsenal_manutd_2024-12-21","Arsenal","Man Utd",0,"Premier League","2023-2024","2024-12-21",,1,3,"A",,,,,,,,,,,,,,,1.35,3.27,2.5,3.34,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"chelsea_tottenham_2024-12-22","Chelsea","Tottenham",0,"Premier League","2023-2024","2024-12-22",,2,3,"A",,,,,,,,,,,,,,,2.93,3.59,2.5,3.18,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"mancity_newcastle_2024-12-24","Man City","Newcastle",0,"Premier League","2023-2024","2024-12-24",,3,0,"H",,,,,,,,,,,,,,,3.58,0.27,2.5,3.44,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"liverpool_brighton_2024-12-28","Liverpool","Brighton",0,"Premier League","2023-2024","2024-12-28",,1,2,"A",,,,,,,,,,,,,,,1.22,2.26,2.5,3.45,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"manutd_astonvilla_2024-12-30","Man Utd","Aston Villa",0,"Premier League","2023-2024","2024-12-30",,2,3,"A",,,,,,,,,,,,,,,2.02,3.67,2.5,3.1,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"tottenham_westham_2025-01-02","Tottenham","West Ham",0,"Premier League","2023-2024","2025-01-02",,0,3,"A",,,,,,,,,,,,,,,0.42,3.77,3.1,3.39,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"newcastle_everton_2025-01-04","Newcastle","Everton",0,"Premier League","2023-2024","2025-01-04",,1,0,"H",,,,,,,,,,,,,,,1.99,0.18,3.1,3.12,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brighton_fulham_2025-01-05","Brighton","Fulham",0,"Premier League","2023-2024","2025-01-05",,3,1,"H",,,,,,,,,,,,,,,3.37,1.35,3.1,3.1,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"astonvilla_wolves_2025-01-07","Aston Villa","Wolves",0,"Premier League","2023-2024","2025-01-07",,2,0,"H",,,,,,,,,,,,,,,2.55,0.97,3.1,3.24,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"westham_crystalpalace_2025-01-08","West Ham","Crystal Palace",0,"Premier League","2023-2024","2025-01-08",,3,2,"H",,,,,,,,,,,,,,,3.81,2.23,3.1,3.17,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"everton_brentford_2025-01-10","Everton","Brentford",0,"Premier League","2023-2024","2025-01-10",,2,3,"A",,,,,,,,,,,,,,,2.3,3.68,3.4,3.29,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"fulham_nottmforest_2025-01-11","Fulham","Nottm Forest",0,"Premier League","2023-2024","2025-01-11",,0,2,"A",,,,,,,,,,,,,,,0.57,2.35,3.4,3,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"wolves_bournemouth_2025-01-12","Wolves","Bournemouth",0,"Premier League","2023-2024","2025-01-12",,0,2,"A",,,,,,,,,,,,,,,0.75,2.67,3.4,3.43,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"crystalpalace_leicester_2025-01-16","Crystal Palace","Leicester",0,"Premier League","2023-2024","2025-01-16",,1,0,"H",,,,,,,,,,,,,,,1.3,0.54,3.4,3.38,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brentford_ipswich_2025-01-17","Brentford","Ipswich",0,"Premier League","2023-2024","2025-01-17",,2,2,"D",,,,,,,,,,,,,,,2.71,2.25,3.4,3.26,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"nottmforest_southampton_2025-01-20","Nottm Forest","Southampton",0,"Premier League","2023-2024","2025-01-20",,3,1,"H",,,,,,,,,,,,,,,3.48,1.18,3.4,3.39,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"bournemouth_arsenal_2025-01-23","Bournemouth","Arsenal",0,"Premier League","2023-2024","2025-01-23",,3,1,"H",,,,,,,,,,,,,,,3.15,1.18,3.4,3.3,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"leicester_chelsea_2025-01-25","Leicester","Chelsea",0,"Premier League","2023-2024","2025-01-25",,3,0,"H",,,,,,,,,,,,,,,3.1,0.63,3.4,3.18,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"ipswich_mancity_2025-01-27","Ipswich","Man City",0,"Premier League","2023-2024","2025-01-27",,3,2,"H",,,,,,,,,,,,,,,3.5,2.86,3.4,3.24,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"southampton_liverpool_2025-01-29","Southampton","Liverpool",0,"Premier League","2023-2024","2025-01-29",,0,1,"A",,,,,,,,,,,,,,,0.47,1.75,3.4,3.33,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"arsenal_tottenham_2025-02-02","Arsenal","Tottenham",0,"Premier League","2023-2024","2025-02-02",,3,1,"H",,,,,,,,,,,,,,,3.26,1.42,2.5,3.08,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"chelsea_newcastle_2025-02-04","Chelsea","Newcastle",0,"Premier League","2023-2024","2025-02-04",,1,1,"D",,,,,,,,,,,,,,,1.54,1.61,2.5,3.42,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"mancity_brighton_2025-02-08","Man City","Brighton",0,"Premier League","2023-2024","2025-02-08",,3,1,"H",,,,,,,,,,,,,,,3.35,1.89,2.5,3.07,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"liverpool_astonvilla_2025-02-10","Liverpool","Aston Villa",0,"Premier League","2023-2024","2025-02-10",,3,2,"H",,,,,,,,,,,,,,,3.76,2.68,2.5,3.14,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"manutd_westham_2025-02-13","Man Utd","West Ham",0,"Premier League","2023-2024","2025-02-13",,3,3,"D",,,,,,,,,,,,,,,3.36,3.69,2.5,3.38,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"tottenham_everton_2025-02-15","Tottenham","Everton",0,"Premier League","2023-2024","2025-02-15",,0,3,"A",,,,,,,,,,,,,,,0.74,3.93,3.1,3.29,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"newcastle_fulham_2025-02-18","Newcastle","Fulham",0,"Premier League","2023-2024","2025-02-18",,2,1,"H",,,,,,,,,,,,,,,2.45,1.28,3.1,3.34,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brighton_wolves_2025-02-19","Brighton","Wolves",0,"Premier League","2023-2024","2025-02-19",,1,0,"H",,,,,,,,,,,,,,,1.49,0.39,3.1,3.25,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"astonvilla_crystalpalace_2025-02-23","Aston Villa","Crystal Palace",0,"Premier League","2023-2024","2025-02-23",,0,0,"D",,,,,,,,,,,,,,,0.18,0.5,3.1,3.04,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"westham_brentford_2025-02-26","West Ham","Brentford",0,"Premier League","2023-2024","2025-02-26",,0,0,"D",,,,,,,,,,,,,,,0.35,0.64,3.1,3.27,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"everton_nottmforest_2025-03-01","Everton","Nottm Forest",0,"Premier League","2023-2024","2025-03-01",,1,1,"D",,,,,,,,,,,,,,,1.58,1.74,3.4,3.39,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"fulham_bournemouth_2025-03-04","Fulham","Bournemouth",0,"Premier League","2023-2024","2025-03-04",,2,3,"A",,,,,,,,,,,,,,,2.98,3.01,3.4,3.32,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"wolves_leicester_2025-03-06","Wolves","Leicester",0,"Premier League","2023-2024","2025-03-06",,1,3,"A",,,,,,,,,,,,,,,1.27,3.49,3.4,3.5,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"crystalpalace_ipswich_2025-03-09","Crystal Palace","Ipswich",0,"Premier League","2023-2024","2025-03-09",,1,3,"A",,,,,,,,,,,,,,,1.67,3.72,3.4,3.41,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brentford_southampton_2025-03-13","Brentford","Southampton",0,"Premier League","2023-2024","2025-03-13",,3,1,"H",,,,,,,,,,,,,,,3.91,1.34,3.4,3.37,3.4,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"nottmforest_arsenal_2025-03-17","Nottm Forest","Arsenal",0,"Premier League","2023-2024","2025-03-17",,0,1,"A",,,,,,,,,,,,,,,0.34,1.21,3.4,3.41,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"bournemouth_chelsea_2025-03-21","Bournemouth","Chelsea",0,"Premier League","2023-2024","2025-03-21",,2,1,"H",,,,,,,,,,,,,,,2.37,1.79,3.4,3.03,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
